url,country,frame
https://ai.unc.edu/teaching-generative-ai-usage-guidance-2/,United States,Pedagogical Support
https://extension.illinois.edu/commit/ai-guidelines,United States,Risk & Compliance
https://genai.ubc.ca/guidance/teaching-learning-guidelines/,Canada,Pedagogical Support
https://information-services.ed.ac.uk/computing/comms-and-collab/elm/generative-ai-guidance-for-students/using-generative,United Kingdom,Technological Enablement
https://it.purdue.edu/ai/generative-ai/,United States,Risk & Compliance
https://it.uw.edu/guides/security-authentication/artificial-intelligence-guidelines/?_gl=1,United States,Technological Enablement
https://lehre-virtuell.uni-frankfurt.de/knowhow/allgemeine-empfehlungen-im-umgang-mit-generativer-ki-in-studium-und-lehre/,Germany,Pedagogical Support
https://my.uq.edu.au/information-and-services/manage-my-program/student-integrity-and-conduct/academic-integrity-and-student-conduct,Australia,Technological Enablement
https://oit.colorado.edu/services/it-security/artificial-intelligence-ai-data-security-guidelines,United States,Technological Enablement
https://otl.uoguelph.ca/teaching-assessment-resources/teaching-context-ai/provisional-recommendations-use-generative-ai,Canada,Pedagogical Support
https://policies.mq.edu.au/document/view.php?id=394,Australia,Regulatory / Governance
https://provost.mcmaster.ca/generative-artificial-intelligence-2/task-force-on-generative-ai-in-teaching-and-learning/provisional-guidelines-on-the-use-of-generative-ai-in-teaching-and-learning/,Canada,Pedagogical Support
https://provost.utexas.edu/the-office/academic-affairs/office-of-academic-technology/limitations/,United States,Pedagogical Support
https://publicpolicydms.monash.edu/Monash/documents/2904420,Australia,Regulatory / Governance
https://teachingkb.mcgill.ca/tlk/using-generative-ai-in-teaching-and-learning,Canada,Risk & Compliance
https://uni-freiburg.de/en/research/quality-assurance/good-research-practice/policy-on-the-use-of-generative-ai-in-research/,Germany,Risk & Compliance
https://uni-tuebingen.de/en/lehrende/generative-ki-in-lehre-und-forschung/guideline-of-the-university-of-tuebingen/,Germany,Control & Integrity
https://uwaterloo.ca/academic-integrity/artificial-intelligence-and-chatgpt,Canada,Control & Integrity
https://warwick.ac.uk/fac/soc/law/student-hub/ai-guidance-students/,United Kingdom,Control & Integrity
https://www.adelaide.edu.au/technology/secure-it/generative-ai-it-security-guidelines,Australia,Risk & Compliance
https://www.anu.edu.au/students/academic-skills/academic-integrity/best-practice-principles/guide-for-students-best,Australia,Control & Integrity
https://www.curtin.edu.au/news/oasis-news/how-to-navigate-gen-ai-tools-at-curtin/,Australia,Technological Enablement
https://www.gla.ac.uk/myglasgow/sld/ai/students/,United Kingdom,Control & Integrity
https://www.imperial.ac.uk/admin-services/library/learning-support/generative-ai-guidance/,United Kingdom,Control & Integrity
https://www.information-compliance.admin.cam.ac.uk/data-protection/guidance/ai-guidance,United Kingdom,Technological Enablement
https://www.kcl.ac.uk/about/strategy/learning-and-teaching/ai-guidance/student-guidance,United Kingdom,Control & Integrity
https://www.law.berkeley.edu/wp-content/uploads/2025/08/Sedona-AI-guidelines-for-Judge.pdf,United States,Technological Enablement
https://www.nottingham.ac.uk/studyingeffectively/ai/ai.aspx,United Kingdom,Risk & Compliance
https://www.ox.ac.uk/students/life/it/guidance-safe-and-responsible-use-gen-ai-tools,United Kingdom,Technological Enablement
https://www.sgs.utoronto.ca/about/guidance-on-the-use-of-generative-artificial-intelligence/,Canada,Control & Integrity
https://www.sydney.edu.au/news-opinion/news/2024/11/27/university-of-sydney-ai-assessment-policy.html,Australia,Control & Integrity
https://www.tu.berlin/en/dima/news-details/announcement-the-usage-of-ai-tools-policy,Germany,Technological Enablement
https://www.tum.de/en/news-and-events/all-news/press-releases/details/guidelines-for-the-use-of-ai-in-science,Germany,Regulatory / Governance
https://www.ualberta.ca/en/centre-for-teaching-and-learning/resources/generative-ai/academic-integrity-ai-use/index.html,Canada,Technological Enablement
https://www.ucl.ac.uk/students/exams-and-assessments/assessment-success-guide/engaging-generative-ai-your-education-and-assessment,United Kingdom,Technological Enablement
https://www.uni-erfurt.de/en/studies/study-services/digital-learning-teaching/generative-ai-in-studies,Germany,Control & Integrity
https://www.uni-jena.de/en/278883/working-with-generative-ai-tools-at-the-university-of-jena,Germany,Risk & Compliance
https://www.unsw.edu.au/student/managing-your-studies/academic-skills-support/toolkit/ai#levels,Australia,Control & Integrity
https://www.uottawa.ca/faculty-social-sciences/sites/g/files/bhrskd371/files/2025-06/Policy%20on%20use%20of%20generative%20artificial%20intelligence%20%28AI%29%20in%20Major%20Research%20Papers%20%28MRP%29.pdf,Canada,Control & Integrity
https://www.upeifa.ca/wp-content/uploads/2024/01/4.-Guidelines-on-the-Use-of-Generative-AI-in-Teaching-and-Learning.pdf,Canada,Pedagogical Support
https://www.uregina.ca/policy/browse-policy/policy-ops-080-050.html,Canada,Regulatory / Governance
https://www.uts.edu.au/about/leadership-governance/policies/a-z/artificial-intelligence-operations-policy,Australia,Regulatory / Governance
https://www.uwa.edu.au/students/-/media/project/uwa/uwa/students/academic-support/ai-assessment-guidelines-student_2025_final.pdf,Australia,Pedagogical Support
