url,country,Threat-Oriented,Opportunity-Oriented,Cautionary,dominant_affect
https://ai.unc.edu/teaching-generative-ai-usage-guidance-2/,United States,3,13,17,Cautionary
https://ethics.msu.edu/gen-ai,United States,5,23,37,Cautionary
https://extension.illinois.edu/commit/ai-guidelines,United States,3,6,3,Opportunity-Oriented
https://genai.ubc.ca/guidance/teaching-learning-guidelines/,Canada,5,8,7,Opportunity-Oriented
https://information-services.ed.ac.uk/computing/comms-and-collab/elm/generative-ai-guidance-for-students/using-generative,United Kingdom,14,6,14,Threat-Oriented
https://it.purdue.edu/ai/generative-ai/,United States,0,9,10,Cautionary
https://it.uw.edu/guides/security-authentication/artificial-intelligence-guidelines/?_gl=1,United States,3,2,12,Cautionary
https://lehre-virtuell.uni-frankfurt.de/knowhow/allgemeine-empfehlungen-im-umgang-mit-generativer-ki-in-studium-und-lehre/,Germany,5,19,7,Opportunity-Oriented
https://my.uq.edu.au/information-and-services/manage-my-program/student-integrity-and-conduct/academic-integrity-and-student-conduct,Australia,99,18,20,Threat-Oriented
https://oit.colorado.edu/services/it-security/artificial-intelligence-ai-data-security-guidelines,United States,8,3,2,Threat-Oriented
https://otl.uoguelph.ca/teaching-assessment-resources/teaching-context-ai/provisional-recommendations-use-generative-ai,Canada,12,15,8,Opportunity-Oriented
https://policies.mq.edu.au/document/view.php?id=394,Australia,7,8,16,Cautionary
https://provost.mcmaster.ca/generative-artificial-intelligence-2/task-force-on-generative-ai-in-teaching-and-learning/provisional-guidelines-on-the-use-of-generative-ai-in-teaching-and-learning/,Canada,10,23,9,Opportunity-Oriented
https://provost.utexas.edu/the-office/academic-affairs/office-of-academic-technology/limitations/,United States,1,2,13,Cautionary
https://publicpolicydms.monash.edu/Monash/documents/2904420,Australia,30,15,37,Cautionary
https://teachingkb.mcgill.ca/tlk/using-generative-ai-in-teaching-and-learning,Canada,2,4,10,Cautionary
https://uni-freiburg.de/en/research/quality-assurance/good-research-practice/policy-on-the-use-of-generative-ai-in-research/,Germany,13,6,13,Threat-Oriented
