url,country,role_assumption,count
https://ai.unc.edu/teaching-generative-ai-usage-guidance-2/,United States,Institution-Led,1
https://ethics.msu.edu/gen-ai,United States,Institution-Led,1
https://extension.illinois.edu/commit/ai-guidelines,United States,Unspecified,1
https://genai.ubc.ca/guidance/teaching-learning-guidelines/,Canada,Institution-Led,1
https://information-services.ed.ac.uk/computing/comms-and-collab/elm/generative-ai-guidance-for-students/using-generative,United Kingdom,Institution-Led,1
https://it.purdue.edu/ai/generative-ai/,United States,Unspecified,1
https://it.uw.edu/guides/security-authentication/artificial-intelligence-guidelines/?_gl=1,United States,Institution-Led,1
https://lehre-virtuell.uni-frankfurt.de/knowhow/allgemeine-empfehlungen-im-umgang-mit-generativer-ki-in-studium-und-lehre/,Germany,Institution-Led,1
https://my.uq.edu.au/information-and-services/manage-my-program/student-integrity-and-conduct/academic-integrity-and-student-conduct,Australia,Student-Responsible,1
https://oit.colorado.edu/services/it-security/artificial-intelligence-ai-data-security-guidelines,United States,Instructor-Led,1
https://otl.uoguelph.ca/teaching-assessment-resources/teaching-context-ai/provisional-recommendations-use-generative-ai,Canada,Institution-Led,1
https://policies.mq.edu.au/document/view.php?id=394,Australia,Institution-Led,1
https://provost.mcmaster.ca/generative-artificial-intelligence-2/task-force-on-generative-ai-in-teaching-and-learning/provisional-guidelines-on-the-use-of-generative-ai-in-teaching-and-learning/,Canada,Student-Responsible,1
https://provost.utexas.edu/the-office/academic-affairs/office-of-academic-technology/limitations/,United States,Student-Responsible,1
https://publicpolicydms.monash.edu/Monash/documents/2904420,Australia,Unspecified,1
https://teachingkb.mcgill.ca/tlk/using-generative-ai-in-teaching-and-learning,Canada,Institution-Led,1
https://uni-freiburg.de/en/research/quality-assurance/good-research-practice/policy-on-the-use-of-generative-ai-in-research/,Germany,Institution-Led,1
https://uni-tuebingen.de/en/lehrende/generative-ki-in-lehre-und-forschung/guideline-of-the-university-of-tuebingen/,Germany,Institution-Led,1
https://uwaterloo.ca/academic-integrity/artificial-intelligence-and-chatgpt,Canada,Student-Responsible,1
https://warwick.ac.uk/fac/soc/law/student-hub/ai-guidance-students/,United Kingdom,Student-Responsible,1
https://www.adelaide.edu.au/technology/secure-it/generative-ai-it-security-guidelines,Australia,Institution-Led,1
https://www.anu.edu.au/students/academic-skills/academic-integrity/best-practice-principles/guide-for-students-best,Australia,Student-Responsible,1
https://www.curtin.edu.au/news/oasis-news/how-to-navigate-gen-ai-tools-at-curtin/,Australia,Student-Responsible,1
https://www.gla.ac.uk/myglasgow/sld/ai/students/,United Kingdom,Institution-Led,1
https://www.imperial.ac.uk/admin-services/library/learning-support/generative-ai-guidance/,United Kingdom,Unspecified,1
https://www.information-compliance.admin.cam.ac.uk/data-protection/guidance/ai-guidance,United Kingdom,Institution-Led,1
https://www.kcl.ac.uk/about/strategy/learning-and-teaching/ai-guidance/student-guidance,United Kingdom,Student-Responsible,1
https://www.law.berkeley.edu/wp-content/uploads/2025/08/Sedona-AI-guidelines-for-Judge.pdf,United States,Unspecified,1
https://www.nottingham.ac.uk/studyingeffectively/ai/ai.aspx,United Kingdom,Unspecified,1
https://www.ox.ac.uk/students/life/it/guidance-safe-and-responsible-use-gen-ai-tools,United Kingdom,Institution-Led,1
https://www.sgs.utoronto.ca/about/guidance-on-the-use-of-generative-artificial-intelligence/,Canada,Institution-Led,1
https://www.staffnet.manchester.ac.uk/dcmsr/communications/ai-guidelines/,United Kingdom,Institution-Led,1
https://www.sydney.edu.au/news-opinion/news/2024/11/27/university-of-sydney-ai-assessment-policy.html,Australia,Institution-Led,1
https://www.tu.berlin/en/dima/news-details/announcement-the-usage-of-ai-tools-policy,Germany,Unspecified,1
https://www.tum.de/en/news-and-events/all-news/press-releases/details/guidelines-for-the-use-of-ai-in-science,Germany,Unspecified,1
https://www.ualberta.ca/en/centre-for-teaching-and-learning/resources/generative-ai/academic-integrity-ai-use/index.html,Canada,Instructor-Led,1
https://www.ucl.ac.uk/students/exams-and-assessments/assessment-success-guide/engaging-generative-ai-your-education-and-assessment,United Kingdom,Unspecified,1
https://www.uni-erfurt.de/en/studies/study-services/digital-learning-teaching/generative-ai-in-studies,Germany,Institution-Led,1
https://www.uni-jena.de/en/278883/working-with-generative-ai-tools-at-the-university-of-jena,Germany,Unspecified,1
https://www.unsw.edu.au/student/managing-your-studies/academic-skills-support/toolkit/ai#levels,Australia,Institution-Led,1
https://www.uottawa.ca/faculty-social-sciences/sites/g/files/bhrskd371/files/2025-06/Policy%20on%20use%20of%20generative%20artificial%20intelligence%20%28AI%29%20in%20Major%20Research%20Papers%20%28MRP%29.pdf,Canada,Student-Responsible,1
https://www.upeifa.ca/wp-content/uploads/2024/01/4.-Guidelines-on-the-Use-of-Generative-AI-in-Teaching-and-Learning.pdf,Canada,Instructor-Led,1
https://www.uregina.ca/policy/browse-policy/policy-ops-080-050.html,Canada,Institution-Led,1
https://www.uts.edu.au/about/leadership-governance/policies/a-z/artificial-intelligence-operations-policy,Australia,Unspecified,1
https://www.uwa.edu.au/students/-/media/project/uwa/uwa/students/academic-support/ai-assessment-guidelines-student_2025_final.pdf,Australia,Student-Responsible,1
