university_domain,university_name,url,lda_topic,topic_label,lda_topic_probability
ox.ac.uk,OX,https://www.ox.ac.uk/students/life/it/guidance-safe-and-responsible-use-gen-ai-tools,4,Student Use of Generative AI in Coursework,0.9998426
information-compliance.admin.cam.ac.uk,INFORMATION-COMPLIANCE,https://www.information-compliance.admin.cam.ac.uk/data-protection/guidance/ai-guidance,1,General Guidance on Generative AI Tools,0.999935
ucl.ac.uk,UCL,https://www.ucl.ac.uk/students/exams-and-assessments/assessment-success-guide/engaging-generative-ai-your-education-and-assessment,0,Miscellaneous / Low-Frequency Content,0.9994841
imperial.ac.uk,IMPERIAL,https://www.imperial.ac.uk/admin-services/library/learning-support/generative-ai-guidance/,0,Miscellaneous / Low-Frequency Content,0.8348961
information-services.ed.ac.uk,INFORMATION-SERVICES,https://information-services.ed.ac.uk/computing/comms-and-collab/elm/generative-ai-guidance-for-students/using-generative,1,General Guidance on Generative AI Tools,0.51891243
gla.ac.uk,GLA,https://www.gla.ac.uk/myglasgow/sld/ai/students/,0,Miscellaneous / Low-Frequency Content,0.99984926
staffnet.manchester.ac.uk,STAFFNET,https://www.staffnet.manchester.ac.uk/dcmsr/communications/ai-guidelines/,1,General Guidance on Generative AI Tools,0.9998605
kcl.ac.uk,KCL,https://www.kcl.ac.uk/about/strategy/learning-and-teaching/ai-guidance/student-guidance,0,Miscellaneous / Low-Frequency Content,0.987882
warwick.ac.uk,WARWICK,https://warwick.ac.uk/fac/soc/law/student-hub/ai-guidance-students/,2,"Responsible Use, Risks, and Policy Frameworks",0.68286794
nottingham.ac.uk,NOTTINGHAM,https://www.nottingham.ac.uk/studyingeffectively/ai/ai.aspx,1,General Guidance on Generative AI Tools,0.48937893
policies.mq.edu.au,POLICIES,https://policies.mq.edu.au/document/view.php?id=394,1,General Guidance on Generative AI Tools,0.9997133
sydney.edu.au,SYDNEY,https://www.sydney.edu.au/news-opinion/news/2024/11/27/university-of-sydney-ai-assessment-policy.html,1,General Guidance on Generative AI Tools,0.7519802
unsw.edu.au,UNSW,https://www.unsw.edu.au/student/managing-your-studies/academic-skills-support/toolkit/ai#levels,2,"Responsible Use, Risks, and Policy Frameworks",0.7829079
anu.edu.au,ANU,https://www.anu.edu.au/students/academic-skills/academic-integrity/best-practice-principles/guide-for-students-best,2,"Responsible Use, Risks, and Policy Frameworks",0.9997938
publicpolicydms.monash.edu,PUBLICPOLICYDMS,https://publicpolicydms.monash.edu/Monash/documents/2904420,1,General Guidance on Generative AI Tools,0.5877769
