university_name,0,1,2,3,4,5
ADELAIDE,0,1,0,0,0,0
AI,0,1,0,0,0,0
ANU,0,0,1,0,0,0
CURTIN,1,0,0,0,0,0
ETHICS,0,1,0,0,0,0
EXTENSION,0,0,0,0,1,0
GENAI,0,0,1,0,0,0
GLA,1,0,0,0,0,0
IMPERIAL,1,0,0,0,0,0
INFORMATION-COMPLIANCE,0,1,0,0,0,0
INFORMATION-SERVICES,0,1,0,0,0,0
IT,0,0,0,0,0,2
KCL,1,0,0,0,0,0
LAW,1,0,0,0,0,0
LEHRE-VIRTUELL,0,0,0,0,1,0
MY,0,0,0,0,1,0
NOTTINGHAM,0,1,0,0,0,0
OIT,0,0,1,0,0,0
OTL,0,0,1,0,0,0
OX,0,0,0,0,1,0
POLICIES,0,1,0,0,0,0
PROVOST,0,1,1,0,0,0
PUBLICPOLICYDMS,0,1,0,0,0,0
SGS,0,0,1,0,0,0
STAFFNET,0,1,0,0,0,0
SYDNEY,0,1,0,0,0,0
TEACHINGKB,0,0,1,0,0,0
TU,0,0,0,0,1,0
TUM,0,0,0,1,0,0
UALBERTA,0,0,1,0,0,0
UCL,1,0,0,0,0,0
UNI-ERFURT,0,0,1,0,0,0
UNI-FREIBURG,0,0,0,0,1,0
UNI-JENA,0,1,0,0,0,0
UNI-TUEBINGEN,0,0,0,0,1,0
UNSW,0,0,1,0,0,0
UOTTAWA,0,1,0,0,0,0
UPEIFA,0,0,1,0,0,0
UREGINA,0,1,0,0,0,0
UTS,0,1,0,0,0,0
UWA,1,0,0,0,0,0
UWATERLOO,0,0,1,0,0,0
WARWICK,0,0,1,0,0,0
