university,num_policies,num_unique_topics,topics,topic_distribution
ADELAIDE,1,1,1,{1: 1}
AI,1,1,1,{1: 1}
ANU,1,1,2,{2: 1}
CURTIN,1,1,0,{0: 1}
ETHICS,1,1,1,{1: 1}
EXTENSION,1,1,4,{4: 1}
GENAI,1,1,2,{2: 1}
GLA,1,1,0,{0: 1}
IMPERIAL,1,1,0,{0: 1}
INFORMATION-COMPLIANCE,1,1,1,{1: 1}
INFORMATION-SERVICES,1,1,1,{1: 1}
IT,2,1,5,{5: 2}
KCL,1,1,0,{0: 1}
LAW,1,1,0,{0: 1}
LEHRE-VIRTUELL,1,1,4,{4: 1}
MY,1,1,4,{4: 1}
NOTTINGHAM,1,1,1,{1: 1}
OIT,1,1,2,{2: 1}
OTL,1,1,2,{2: 1}
OX,1,1,4,{4: 1}
POLICIES,1,1,1,{1: 1}
PROVOST,2,2,"1,2","{1: 1, 2: 1}"
PUBLICPOLICYDMS,1,1,1,{1: 1}
SGS,1,1,2,{2: 1}
STAFFNET,1,1,1,{1: 1}
SYDNEY,1,1,1,{1: 1}
TEACHINGKB,1,1,2,{2: 1}
TU,1,1,4,{4: 1}
TUM,1,1,3,{3: 1}
UALBERTA,1,1,2,{2: 1}
UCL,1,1,0,{0: 1}
UNI-ERFURT,1,1,2,{2: 1}
UNI-FREIBURG,1,1,4,{4: 1}
UNI-JENA,1,1,1,{1: 1}
UNI-TUEBINGEN,1,1,4,{4: 1}
UNSW,1,1,2,{2: 1}
UOTTAWA,1,1,1,{1: 1}
UPEIFA,1,1,2,{2: 1}
UREGINA,1,1,1,{1: 1}
UTS,1,1,1,{1: 1}
UWA,1,1,0,{0: 1}
UWATERLOO,1,1,2,{2: 1}
WARWICK,1,1,2,{2: 1}
