url;country;university_name
https://www.ox.ac.uk/students/life/it/guidance-safe-and-responsible-use-gen-ai-tools;United Kingdom;University of Oxford
https://www.information-compliance.admin.cam.ac.uk/data-protection/guidance/ai-guidance;United Kingdom;University of Cambridge
https://www.ucl.ac.uk/students/exams-and-assessments/assessment-success-guide/engaging-generative-ai-your-education-and-assessment;United Kingdom;University College London
https://www.imperial.ac.uk/admin-services/library/learning-support/generative-ai-guidance/;United Kingdom;Imperial College London
https://information-services.ed.ac.uk/computing/comms-and-collab/elm/generative-ai-guidance-for-students/using-generative;United Kingdom;The University of Edinburg
https://www.gla.ac.uk/myglasgow/sld/ai/students/;United Kingdom;University of Glasgow
https://www.staffnet.manchester.ac.uk/dcmsr/communications/ai-guidelines/;United Kingdom;The University of Manchester
https://www.kcl.ac.uk/about/strategy/learning-and-teaching/ai-guidance/student-guidance;United Kingdom;King's College London
https://warwick.ac.uk/fac/soc/law/student-hub/ai-guidance-students/;United Kingdom;University of Warwick
https://www.nottingham.ac.uk/studyingeffectively/ai/ai.aspx;United Kingdom;University of Nottingham
https://policies.mq.edu.au/document/view.php?id=394;Australia;Macquarie University
https://www.sydney.edu.au/news-opinion/news/2024/11/27/university-of-sydney-ai-assessment-policy.html;Australia;The University of Sydney
https://www.unsw.edu.au/student/managing-your-studies/academic-skills-support/toolkit/ai#levels;Australia;The University of New South Wales
https://www.anu.edu.au/students/academic-skills/academic-integrity/best-practice-principles/guide-for-students-best;Australia;Australian National University
https://publicpolicydms.monash.edu/Monash/documents/2904420;Australia;Monash University
https://my.uq.edu.au/information-and-services/manage-my-program/student-integrity-and-conduct/academic-integrity-and-student-conduct;Australia;The University of Queensland
https://www.uwa.edu.au/students/-/media/project/uwa/uwa/students/academic-support/ai-assessment-guidelines-student_2025_final.pdf;Australia;The University of Western Australia
https://www.adelaide.edu.au/technology/secure-it/generative-ai-it-security-guidelines;Australia;The University of Adelaide
https://www.uts.edu.au/about/leadership-governance/policies/a-z/artificial-intelligence-operations-policy;Australia;University of Technology Sydney
https://www.curtin.edu.au/news/oasis-news/how-to-navigate-gen-ai-tools-at-curtin/;Australia;Curtin University
https://www.ualberta.ca/en/centre-for-teaching-and-learning/resources/generative-ai/academic-integrity-ai-use/index.html;Canada;University of Alberta
https://www.sgs.utoronto.ca/about/guidance-on-the-use-of-generative-artificial-intelligence/;Canada;University of Toronto
https://teachingkb.mcgill.ca/tlk/using-generative-ai-in-teaching-and-learning;Canada;McGill University
https://www.uottawa.ca/faculty-social-sciences/sites/g/files/bhrskd371/files/2025-06/Policy%20on%20use%20of%20generative%20artificial%20intelligence%20%28AI%29%20in%20Major%20Research%20Papers%20%28MRP%29.pdf;Canada;University of Ottawa
https://uwaterloo.ca/academic-integrity/artificial-intelligence-and-chatgpt;Canada;The University of Waterloo
https://provost.mcmaster.ca/generative-artificial-intelligence-2/task-force-on-generative-ai-in-teaching-and-learning/provisional-guidelines-on-the-use-of-generative-ai-in-teaching-and-learning/;Canada;McMaster University
https://genai.ubc.ca/guidance/teaching-learning-guidelines/;Canada;The University of British Columbia
https://otl.uoguelph.ca/teaching-assessment-resources/teaching-context-ai/provisional-recommendations-use-generative-ai;Canada;University of Guelph
https://www.uregina.ca/policy/browse-policy/policy-ops-080-050.html;Canada;University of Regina
https://www.upeifa.ca/wp-content/uploads/2024/01/4.-Guidelines-on-the-Use-of-Generative-AI-in-Teaching-and-Learning.pdf;Canada;University of Prince Edward Island
https://www.law.berkeley.edu/wp-content/uploads/2025/08/Sedona-AI-guidelines-for-Judge.pdf;United States;UC Berkeley Law
https://it.uw.edu/guides/security-authentication/artificial-intelligence-guidelines/?_gl=1;United States;University of Washington
https://provost.utexas.edu/the-office/academic-affairs/office-of-academic-technology/limitations/;United States;The University of Texas at Austin
https://it.purdue.edu/ai/generative-ai/;United States;Purdue University
https://ethics.msu.edu/gen-ai;United States;Michigan State University
https://ai.unc.edu/teaching-generative-ai-usage-guidance-2/;United States;The University of North Carolina at Chapel Hill
https://extension.illinois.edu/commit/ai-guidelines;United States;University of Illinois Urbana-Champaign
https://oit.colorado.edu/services/it-security/artificial-intelligence-ai-data-security-guidelines;United States;University of Colorado
https://www.tum.de/en/news-and-events/all-news/press-releases/details/guidelines-for-the-use-of-ai-in-science;Germany;Technical University of Munich
https://www.tu.berlin/en/dima/news-details/announcement-the-usage-of-ai-tools-policy;Germany;Technical University of Berlin
https://uni-freiburg.de/en/research/quality-assurance/good-research-practice/policy-on-the-use-of-generative-ai-in-research/;Germany;University of Freiburg
https://www.uni-erfurt.de/en/studies/study-services/digital-learning-teaching/generative-ai-in-studies;Germany;University of Erfurt
https://www.uni-jena.de/en/278883/working-with-generative-ai-tools-at-the-university-of-jena;Germany;Friedrich Schiller University Jena
https://uni-tuebingen.de/en/lehrende/generative-ki-in-lehre-und-forschung/guideline-of-the-university-of-tuebingen/;Germany;University of Tübingen
https://lehre-virtuell.uni-frankfurt.de/knowhow/allgemeine-empfehlungen-im-umgang-mit-generativer-ki-in-studium-und-lehre/;Germany;Goethe University Frankfurt
