URL,UNI,Harika,Momena,Siya,Sreshta,Suraya,Model Annotation
https://www.tu.berlin/en/dima/news-details/announcement-the-usage-of-ai-tools-policy,Berlin,Anti LLM,Anti LLM,Anti LLM,Anti LLM,Anti LLM,Anti LLM
https://oit.colorado.edu/services/it-security/artificial-intelligence-ai-data-security-guidelines,Colorado,AntiLLM Moderate,AntiLLM Moderate,AntiLLM Moderate,AntiLLM Moderate,AntiLLM Moderate,AntiLLM Moderate
https://www.gla.ac.uk/myglasgow/sld/ai/students/ ,Glasgow,Pro LLM Moderate,Pro LLM,Pro LLM,Pro LLM,Pro LLM Moderate,Anti LLM
https://www.information-compliance.admin.cam.ac.uk/data-protection/guidance/ai-guidance,Cambridge,Neutral,Pro LLM Moderate,Pro LLM Moderate,Pro LLM Moderate,AntiLLM Moderate,Anti LLM
https://my.uq.edu.au/information-and-services/manage-my-program/student-integrity-and-conduct/academic-integrity-and-student-conduct,Queensland,AntiLLM Moderate,Neutral,Neutral,Neutral,Neutral,Anti LLM
https://www.staffnet.manchester.ac.uk/dcmsr/communications/ai-guidelines/ ,Manchester,Neutral,Neutral,Pro LLM Moderate,Neutral,Pro LLM Moderate,Pro LLM Moderate
https://www.ox.ac.uk/students/life/it/guidance-safe-and-responsible-use-gen-ai-tools,Oxford,Pro LLM,Pro LLM Moderate,Pro LLM Moderate,Neutral,Pro LLM Moderate,Pro LLM Moderate
https://www.nottingham.ac.uk/studyingeffectively/ai/ai.aspx,Nottingham,Neutral,Neutral,Neutral,Pro LLM Moderate,Neutral,Pro LLM
https://lehre-virtuell.uni-frankfurt.de/knowhow/allgemeine-empfehlungen-im-umgang-mit-generativer-ki-in-studium-und-lehre/,Frankfurt,Pro LLM Moderate,Pro LLM,Pro LLM,Pro LLM,Pro LLM,Pro LLM
https://uwaterloo.ca/academic-integrity/artificial-intelligence-and-chatgpt,Waterloo,Pro LLM Moderate,Pro LLM Moderate,Pro LLM Moderate,Pro LLM Moderate,Pro LLM Moderate,Pro LLM Moderate
https://www.kcl.ac.uk/about/strategy/learning-and-teaching/ai-guidance/student-guidance,Kings College London,Pro LLM,Pro LLM Moderate,Pro LLM,Pro LLM,Pro LLM,Neutral
https://www.ualberta.ca/en/centre-for-teaching-and-learning/resources/generative-ai/academic-integrity-ai-use/index.html,Alberta,Neutral,Pro LLM Moderate,Neutral,Neutral,Pro LLM Moderate,Neutral
https://it.uw.edu/guides/security-authentication/artificial-intelligence-guidelines/?_gl=1,Washington,Neutral,Neutral,AntiLLM Moderate,Pro LLM Moderate,Anti LLM,Neutral
https://www.unsw.edu.au/student/managing-your-studies/academic-skills-support/toolkit/ai#levels,Sydney,Neutral,Neutral,Neutral,Neutral,Pro LLM Moderate,Neutral
